SUM|BRK|BB|4,807.0000|$64,991.43|$56,065.57|-$6,085.64|$2,840.22
SUM|BRK|BMBL|1,882.0000|$68,764.46|$67,174.77|-$1,589.69|
BRK|PXS|12/06/2021|11/22/2021|Sell|46,891.0000|$31,416.63|$25,809.27|-$5,607.36
BRK|PXS|12/06/2021|11/23/2021|Sell|9,298.0000|$6,229.66|$5,117.71|-$1,111.95
BRK|PXS|12/06/2021|11/23/2021|Sell|20,000.0000|$13,599.92|$11,008.21|-$2,591.71
BRK|PXS|12/06/2021|11/23/2021|Sell|2,350.0000|$1,633.24|$1,293.46|-$339.78
BRK|PXS|12/06/2021|11/23/2021|Sell|4,023.0000|$3,041.77|$2,214.30|-$827.47
BRK|PXS|12/06/2021|11/23/2021|Sell|4,329.0000|$3,327.81|$2,382.72|-$945.09
BRK|STNG|05/11/2021|02/01/2021|Sell|2,411.0000|$29,727.63|$47,225.06|$17,497.43
BRK|STNG|05/11/2021|03/15/2021|Sell|12.5980|$241.10|$246.76|$5.66
BRK|STNG|11/26/2021|11/09/2021|Sell|4,050.0000|$66,906.00|$58,360.20|-$8,545.80
BRK|STNG|11/26/2021|11/09/2021|Sell|5,214.0000|$86,135.28|$73,003.78|-$13,131.50
BRK|STNG|11/26/2021|11/15/2021|Sell|286.0000|$5,768.64|$4,004.43|-$1,764.21
BRK|STNG|11/26/2021|11/15/2021|Sell|3,500.0000|$70,595.26|$48,685.14|-$21,910.12
BRK|STNG|12/01/2021|11/15/2021|Sell|41.0000|$826.97|$536.69|-$290.28
BRK|STNG|12/01/2021|11/22/2021|Sell|223.0000|$3,815.55|$2,919.05|-$896.50
BRK|STNG|12/01/2021|11/22/2021|Sell|436.0000|$7,638.07|$5,707.21|-$1,930.86
BRK|STNG|12/02/2021|11/22/2021|Sell|450.0000|$7,838.33|$5,759.97|-$2,078.36
BRK|STNG|12/02/2021|11/22/2021|Sell|542.0000|$9,440.83|$6,956.04|-$2,484.79
SEP|AMZN|12/06/2021|11/22/2021 Noncovered|Sell|6.0000|$21,535.61|$20,782.75|-$752.86
SEP|BRK|12/06/2021|06/23/2020 Noncovered|Sell|91.0000|$16,508.31|$25,689.63|$9,181.32
SEP|BRK|12/06/2021|10/14/2020 Noncovered|Sell|32.0000|$6,749.44|$9,033.71|$2,284.27
SEP|BRK|12/06/2021|10/14/2020 Noncovered|Sell|183.0000|$38,598.36|$51,656.06|$13,057.70
SEP|BRK|12/06/2021|11/22/2021 Noncovered|Sell|67.0000|$19,076.24|$18,912.33|-$163.91
SEP|HIMS|12/23/2021|12/06/2021 Noncovered|Sell|8,325.0000|$50,734.06|$55,277.72|$4,543.66
SEP|MGI|11/01/2021|05/27/2020 Noncovered|Sell|12,000.0000|$27,881.67|$70,799.64|$42,917.97
SEP|MGI|11/02/2021|05/27/2020 Noncovered|Sell|1,133.0000|$2,632.49|$6,233.17|$3,600.68
SEP|MGI|11/02/2021|06/02/2020 Noncovered|Sell|3,478.0000|$12,025.18|$19,134.15|$7,108.97
SEP|MGI|11/02/2021|06/03/2020 Noncovered|Sell|1,389.0000|$4,469.93|$7,641.55|$3,171.62
SEP|MGI|11/04/2021|06/03/2020 Noncovered|Sell|4,500.0000|$14,481.42|$23,580.33|$9,098.91
SEP|MGI|12/06/2021|06/03/2020 Noncovered|Sell|1,454.0000|$4,679.11|$10,141.60|$5,462.49
SEP|MTCH|12/06/2021|11/24/2021 Noncovered|Sell|117.0000|$15,872.04|$15,025.36|-$846.68
